time	umeeg101_rel_ROI1_FC1	umeeg101_rel_ROI1_Cz	umeeg101_rel_ROI1_FC2	umeeg101_rel_ROI2_CP1	umeeg101_rel_ROI2_Pz	umeeg101_rel_ROI2_CP2	umeeg101_irr_ROI1_FC1	umeeg101_irr_ROI1_Cz	umeeg101_irr_ROI1_FC2	umeeg101_irr_ROI2_CP1	umeeg101_irr_ROI2_Pz	umeeg101_irr_ROI2_CP2	umeeg101_odd_ROI1_FC1	umeeg101_odd_ROI1_Cz	umeeg101_odd_ROI1_FC2	umeeg101_odd_ROI2_CP1	umeeg101_odd_ROI2_Pz	umeeg101_odd_ROI2_CP2	umeeg102_rel_ROI1_FC1	umeeg102_rel_ROI1_Cz	umeeg102_rel_ROI1_FC2	umeeg102_rel_ROI2_CP1	umeeg102_rel_ROI2_Pz	umeeg102_rel_ROI2_CP2	umeeg102_irr_ROI1_FC1	umeeg102_irr_ROI1_Cz	umeeg102_irr_ROI1_FC2	umeeg102_irr_ROI2_CP1	umeeg102_irr_ROI2_Pz	umeeg102_irr_ROI2_CP2	umeeg102_odd_ROI1_FC1	umeeg102_odd_ROI1_Cz	umeeg102_odd_ROI1_FC2	umeeg102_odd_ROI2_CP1	umeeg102_odd_ROI2_Pz	umeeg102_odd_ROI2_CP2	umeeg103_rel_ROI1_FC1	umeeg103_rel_ROI1_Cz	umeeg103_rel_ROI1_FC2	umeeg103_rel_ROI2_CP1	umeeg103_rel_ROI2_Pz	umeeg103_rel_ROI2_CP2	umeeg103_irr_ROI1_FC1	umeeg103_irr_ROI1_Cz	umeeg103_irr_ROI1_FC2	umeeg103_irr_ROI2_CP1	umeeg103_irr_ROI2_Pz	umeeg103_irr_ROI2_CP2	umeeg103_odd_ROI1_FC1	umeeg103_odd_ROI1_Cz	umeeg103_odd_ROI1_FC2	umeeg103_odd_ROI2_CP1	umeeg103_odd_ROI2_Pz	umeeg103_odd_ROI2_CP2	umeeg104_rel_ROI1_FC1	umeeg104_rel_ROI1_Cz	umeeg104_rel_ROI1_FC2	umeeg104_rel_ROI2_CP1	umeeg104_rel_ROI2_Pz	umeeg104_rel_ROI2_CP2	umeeg104_irr_ROI1_FC1	umeeg104_irr_ROI1_Cz	umeeg104_irr_ROI1_FC2	umeeg104_irr_ROI2_CP1	umeeg104_irr_ROI2_Pz	umeeg104_irr_ROI2_CP2	umeeg104_odd_ROI1_FC1	umeeg104_odd_ROI1_Cz	umeeg104_odd_ROI1_FC2	umeeg104_odd_ROI2_CP1	umeeg104_odd_ROI2_Pz	umeeg104_odd_ROI2_CP2	umeeg105_rel_ROI1_FC1	umeeg105_rel_ROI1_Cz	umeeg105_rel_ROI1_FC2	umeeg105_rel_ROI2_CP1	umeeg105_rel_ROI2_Pz	umeeg105_rel_ROI2_CP2	umeeg105_irr_ROI1_FC1	umeeg105_irr_ROI1_Cz	umeeg105_irr_ROI1_FC2	umeeg105_irr_ROI2_CP1	umeeg105_irr_ROI2_Pz	umeeg105_irr_ROI2_CP2	umeeg105_odd_ROI1_FC1	umeeg105_odd_ROI1_Cz	umeeg105_odd_ROI1_FC2	umeeg105_odd_ROI2_CP1	umeeg105_odd_ROI2_Pz	umeeg105_odd_ROI2_CP2	umeeg106_rel_ROI1_FC1	umeeg106_rel_ROI1_Cz	umeeg106_rel_ROI1_FC2	umeeg106_rel_ROI2_CP1	umeeg106_rel_ROI2_Pz	umeeg106_rel_ROI2_CP2	umeeg106_irr_ROI1_FC1	umeeg106_irr_ROI1_Cz	umeeg106_irr_ROI1_FC2	umeeg106_irr_ROI2_CP1	umeeg106_irr_ROI2_Pz	umeeg106_irr_ROI2_CP2	umeeg106_odd_ROI1_FC1	umeeg106_odd_ROI1_Cz	umeeg106_odd_ROI1_FC2	umeeg106_odd_ROI2_CP1	umeeg106_odd_ROI2_Pz	umeeg106_odd_ROI2_CP2	umeeg107_rel_ROI1_FC1	umeeg107_rel_ROI1_Cz	umeeg107_rel_ROI1_FC2	umeeg107_rel_ROI2_CP1	umeeg107_rel_ROI2_Pz	umeeg107_rel_ROI2_CP2	umeeg107_irr_ROI1_FC1	umeeg107_irr_ROI1_Cz	umeeg107_irr_ROI1_FC2	umeeg107_irr_ROI2_CP1	umeeg107_irr_ROI2_Pz	umeeg107_irr_ROI2_CP2	umeeg107_odd_ROI1_FC1	umeeg107_odd_ROI1_Cz	umeeg107_odd_ROI1_FC2	umeeg107_odd_ROI2_CP1	umeeg107_odd_ROI2_Pz	umeeg107_odd_ROI2_CP2
-199.21875	-0.02239976	-0.1553852	-0.1684579	-0.1817473	-0.2450098	-0.1938744	0.1910983	0.2146327	0.1924305	0.1139864	0.1023374	0.09506803	-0.760463	-0.7895453	-0.6375352	-0.8279154	-0.7043512	-0.5918292	-0.7123702	-0.933714	-0.5373743	-0.8144967	-0.2283264	-0.3824732	-0.5401368	-0.5918474	-0.4228253	-0.5204429	-0.06116165	-0.3419373	-1.286844	-1.000228	-1.393302	-0.136872	0.6318538	-0.1796489	0.4978363	0.307679	0.2734338	0.2239617	-0.04791612	0.08571744	0.4103477	0.2756784	0.3174548	0.07005703	-0.0985058	0.05582744	0.8637995	0.7773808	0.8190902	0.7160602	0.728093	0.7226756	-0.2277592	-0.1499252	-0.2385286	0.2195162	0.3299991	0.02959317	-0.2329032	-0.1678569	-0.1042716	-0.01267545	0.1106107	0.04979645	-0.05863003	0.1483755	-0.1081041	0.6267667	0.3888675	-0.3157842	-0.7570655	-0.3003666	-0.47319	0.1440639	0.9845419	0.6915222	-0.5070239	-0.5850613	-0.5067546	-0.2596335	-0.01689405	-0.167734	-1.160529	-0.8704855	-1.138483	-0.5978923	0.6118999	-0.2939914	0.1751686	-0.07749924	0.2111641	-0.3327078	-0.7230645	-0.1008573	-0.2131354	-0.03164222	-0.004839241	-0.05490373	-0.05645249	0.04396842	-0.4231039	-0.9504553	-0.648158	0.2122897	-0.2941318	-0.7054774	-0.2709641	-0.1862261	-0.1572507	-0.1293413	-0.05964914	-0.07012433	-0.3678402	-0.3688229	-0.242411	-0.3227267	-0.3954156	-0.1651549	-0.6914234	-1.14964	-0.4968447	-1.335715	-1.24592	-0.602357
-197.265625	-0.02637417	-0.1970825	-0.190768	-0.1801374	-0.3043052	-0.2347997	0.1843624	0.1627844	0.1750549	0.1160113	0.09059212	0.07574242	-0.5095819	-0.7354558	-0.5453222	-0.7224366	-0.6584548	-0.619964	-0.6221142	-0.8804517	-0.4927526	-0.7745311	-0.2118232	-0.3485795	-0.4616114	-0.5538421	-0.396059	-0.4810778	-0.04850556	-0.3244168	-1.228926	-1.015013	-1.484004	-0.0996015	0.7648191	-0.08651359	0.4786654	0.252514	0.1844425	0.2127247	-0.04429281	0.0644158	0.3987255	0.2580999	0.2750767	0.0873486	-0.09013022	0.04236395	0.8922748	0.8311871	0.9061177	0.7127593	0.7487972	0.7388848	-0.2085035	-0.1086125	-0.1943083	0.2026885	0.3045707	0.08754315	-0.2338893	-0.1698478	-0.09752424	-0.02770431	0.09693552	0.04007895	-0.1248083	0.01328095	-0.1405162	0.359648	0.2653886	-0.3569647	-0.7657737	-0.3575928	-0.4676179	0.1154176	0.9283338	0.6151456	-0.5002282	-0.5687603	-0.4923584	-0.2512926	0.004808005	-0.173107	-0.9294865	-0.7375505	-1.067512	-0.2382799	0.615154	-0.3144248	0.1390484	-0.04588183	0.2109136	-0.3366414	-0.6249087	-0.04604316	-0.1736916	0.0121498	0.02909433	-0.07214598	-0.0481971	0.05469196	-0.2897439	-0.9617027	-0.5826264	0.2064291	-0.4274457	-0.7878569	-0.2542079	-0.1369863	-0.1395886	-0.139046	-0.006844994	-0.1023807	-0.3537691	-0.3898121	-0.2554796	-0.3101956	-0.3617398	-0.1497147	-0.8096986	-1.104738	-0.5109496	-1.270603	-1.092437	-0.5398236
-195.3125	-0.03159799	-0.173359	-0.2025723	-0.1433802	-0.3153716	-0.2310805	0.156067	0.1082314	0.1394542	0.09885383	0.08284093	0.05482407	-0.3265674	-0.6723548	-0.4540753	-0.5945352	-0.5658274	-0.618753	-0.6470971	-0.8369157	-0.4895138	-0.7293438	-0.1450491	-0.3045284	-0.3982262	-0.5069732	-0.3607967	-0.4360705	-0.03877525	-0.3108182	-1.12696	-0.9934672	-1.497427	-0.03277638	0.8778229	0.00646248	0.4379064	0.2110631	0.1210387	0.1893154	-0.01332745	0.06754804	0.3876799	0.2495068	0.2548168	0.1025574	-0.06556056	0.05367056	0.7041119	0.6320812	0.7446766	0.511018	0.6171911	0.6141959	-0.2040757	-0.1086415	-0.180076	0.1712091	0.2515188	0.1086353	-0.2301482	-0.1536843	-0.088169	-0.04600877	0.09074624	0.03724927	-0.1577011	-0.1265149	-0.190126	0.1743498	0.1554095	-0.3598348	-0.7820724	-0.4394656	-0.5044559	0.03352832	0.7947308	0.4914688	-0.4890579	-0.5490224	-0.4858108	-0.2235418	0.03317354	-0.158719	-0.6611997	-0.5692251	-0.9402716	0.08894612	0.6078404	-0.3358399	0.1020612	-0.01280303	0.2283423	-0.3065172	-0.4687155	0.02845198	-0.1324599	0.03635169	0.04179781	-0.07902744	-0.05400853	0.02915799	-0.2790173	-1.036907	-0.6276845	0.1582041	-0.5114112	-0.8626112	-0.1999803	-0.07894652	-0.1307693	-0.1595935	-0.02007105	-0.1752428	-0.334511	-0.38911	-0.2736199	-0.2996982	-0.3162166	-0.1161953	-0.8612528	-1.036184	-0.5306846	-1.159987	-0.8137645	-0.4874169
-193.359375	-0.03967582	-0.1072386	-0.2028622	-0.1067142	-0.3049607	-0.1912243	0.1066408	0.06123343	0.08809914	0.07133622	0.07954297	0.03772872	-0.2770782	-0.5991915	-0.3830642	-0.5271564	-0.4730147	-0.5764921	-0.7163653	-0.7830735	-0.486667	-0.6792976	-0.05947013	-0.2325807	-0.3605426	-0.4624584	-0.3227789	-0.4001843	-0.03244358	-0.2974412	-1.05683	-0.9602423	-1.489948	0.06328363	0.9412496	0.08519968	0.3935289	0.2126611	0.1147572	0.1874429	0.05175013	0.1166549	0.3646995	0.2303311	0.2419284	0.09892425	-0.04086319	0.07324218	0.4943924	0.4180057	0.5711446	0.2847569	0.4723784	0.5080475	-0.2097523	-0.1252277	-0.1951736	0.1478996	0.2102681	0.09549261	-0.2130165	-0.1251399	-0.0739316	-0.0654387	0.07846895	0.03671256	-0.1559767	-0.2134361	-0.2550727	0.1814474	0.1232874	-0.3174307	-0.7984726	-0.5341808	-0.5726989	-0.06946735	0.6263729	0.3352852	-0.4840065	-0.5421566	-0.4938771	-0.1948936	0.05248462	-0.133734	-0.497013	-0.4432907	-0.7458983	0.1339703	0.5374879	-0.3749317	0.06089482	-0.01252063	0.230503	-0.2537983	-0.281014	0.1025442	-0.09131734	0.03374159	0.03264061	-0.07668775	-0.06834417	-0.02005086	-0.3764738	-1.134547	-0.755212	0.07611716	-0.4844039	-0.8804228	-0.09185033	0.04800046	-0.08533762	-0.1322989	-0.05037688	-0.2057788	-0.3127896	-0.3647085	-0.2933943	-0.2793955	-0.259264	-0.07796338	-1.048522	-1.194981	-0.7600966	-1.115295	-0.5448704	-0.5501264
-191.40625	-0.04766687	-0.0468834	-0.1932238	-0.09707927	-0.3037634	-0.1431668	0.05099221	0.02669379	0.03510759	0.04969776	0.07648971	0.02587042	-0.3275899	-0.5318156	-0.3356548	-0.5530607	-0.4140434	-0.5126657	-0.7413958	-0.7047299	-0.4578367	-0.6231381	0.01480527	-0.1426561	-0.33692	-0.4296914	-0.289682	-0.3814552	-0.03248858	-0.2840069	-1.072766	-0.9453356	-1.508696	0.1641089	0.9419703	0.1400626	0.3454929	0.2341435	0.1400178	0.2077819	0.1257951	0.1839134	0.3257357	0.1883232	0.2172489	0.07088574	-0.03531082	0.0772218	0.4822653	0.4421169	0.6282585	0.2329263	0.4587869	0.5657771	-0.2028457	-0.1043707	-0.2035657	0.144158	0.2039758	0.08663169	-0.1832332	-0.09060663	-0.05615246	-0.07938768	0.06156314	0.03972477	-0.1782833	-0.2475101	-0.3386677	0.3202218	0.2025049	-0.2540272	-0.7980532	-0.614188	-0.6377866	-0.1372866	0.4923069	0.1869881	-0.4868864	-0.551626	-0.5133129	-0.1777343	0.0565462	-0.1194967	-0.4610678	-0.3764721	-0.4930107	-0.1023532	0.3861206	-0.4167859	0.05756252	0.02342237	0.2609619	-0.1801159	-0.09617361	0.2006724	-0.05427313	0.01136623	0.01281083	-0.06893142	-0.08193167	-0.06322119	-0.4792075	-1.179548	-0.8295618	-0.008885412	-0.3860544	-0.8337774	0.003194821	0.170101	-0.04762221	-0.06387282	-0.05758591	-0.1878959	-0.3081926	-0.3588882	-0.3285721	-0.2570488	-0.2129376	-0.07125077	-1.232672	-1.2947	-0.9683835	-1.05523	-0.3315848	-0.5696225
-189.453125	-0.04029706	-0.02704495	-0.1744747	-0.1042247	-0.3249114	-0.1123551	0.01313387	0.006208088	-0.003436348	0.04693924	0.06731836	0.01445088	-0.3378104	-0.4548657	-0.2724197	-0.6007897	-0.3934167	-0.4479116	-0.6947926	-0.6299643	-0.4113191	-0.578558	0.04260859	-0.07985877	-0.3066455	-0.4094908	-0.2663919	-0.3732884	-0.03843906	-0.2724043	-1.162151	-0.9504853	-1.544092	0.2317047	0.8970193	0.165355	0.2826875	0.2338923	0.1456271	0.2272366	0.1801804	0.2288553	0.2703089	0.1239851	0.1674443	0.03104721	-0.04805052	0.05514081	0.6994565	0.7011859	0.9056636	0.3722546	0.5512718	0.7410694	-0.1695973	-0.0204988	-0.1766805	0.1531667	0.2211709	0.1097017	-0.1489312	-0.05823334	-0.03808201	-0.08488312	0.0453104	0.04487397	-0.2420251	-0.2568868	-0.4074931	0.446125	0.3257838	-0.2181143	-0.770714	-0.6521648	-0.6772308	-0.1210612	0.448291	0.08637715	-0.4942884	-0.5704353	-0.5388527	-0.1729802	0.05362102	-0.1345474	-0.4960583	-0.3766153	-0.2595358	-0.4462056	0.1651652	-0.4540847	0.03580718	0.006474084	0.246107	-0.1390797	0.02235204	0.2586033	-0.02891974	-0.0174829	-0.003875203	-0.05972567	-0.08634658	-0.07916174	-0.5023266	-1.138682	-0.7343058	-0.05908557	-0.308799	-0.76371	-0.0681444	0.04030689	-0.189543	-0.05652227	-0.07703642	-0.2496327	-0.3198669	-0.3842626	-0.3660456	-0.2451328	-0.1937017	-0.1032732	-1.500961	-1.489878	-1.221797	-1.057139	-0.3138173	-0.6476201
-187.5	-0.03485348	-0.06367718	-0.1549436	-0.1182545	-0.3587077	-0.1068135	0.0009855758	-0.006624342	-0.02426632	0.05959671	0.05041593	-0.002784009	-0.2155491	-0.3536212	-0.1707034	-0.5738306	-0.3733685	-0.387838	-0.6078068	-0.5867084	-0.3722786	-0.5572264	0.01431698	-0.07874564	-0.2553172	-0.388032	-0.2485714	-0.357075	-0.04197622	-0.256437	-1.276098	-0.970533	-1.551557	0.2226395	0.8317571	0.1537668	0.2120523	0.1982418	0.1116867	0.2238474	0.2038295	0.2377211	0.2164351	0.06458491	0.1096343	0.00443222	-0.06416358	0.02135074	0.9811078	0.9829428	1.169074	0.5593084	0.6006639	0.8614819	-0.1305827	0.0919573	-0.1281201	0.154499	0.2420978	0.1624345	-0.1245514	-0.03718507	-0.02718756	-0.08340248	0.04250468	0.04986588	-0.3340325	-0.2746055	-0.4275979	0.4238269	0.4004696	-0.2245286	-0.7242619	-0.641236	-0.6898911	-0.02582842	0.4952772	0.04469442	-0.4927711	-0.576268	-0.5583867	-0.1581738	0.06230757	-0.171068	-0.5145442	-0.4384374	-0.1373514	-0.6972462	-0.1037623	-0.4962502	-0.004042261	-0.05423935	0.1920239	-0.129555	0.07296186	0.2648247	-0.001452934	-0.01049159	0.01823923	-0.04011522	-0.0732739	-0.05518411	-0.4480683	-1.045056	-0.4953018	-0.05712639	-0.3189819	-0.7241933	-0.09341837	-0.01693533	-0.2539128	-0.01914105	-0.02513278	-0.2446281	-0.2208428	-0.243373	-0.2482274	-0.184846	-0.1484032	-0.05796045	-1.932712	-2.003161	-1.647175	-1.189684	-0.5451503	-0.9400382
-185.546875	-0.04356306	-0.1280792	-0.139178	-0.11481	-0.3815845	-0.1140736	-0.007423964	-0.02940446	-0.04125284	0.06027351	0.0262271	-0.03007723	-0.02271213	-0.255643	-0.07222035	-0.4450302	-0.3068254	-0.3386264	-0.5316451	-0.5724158	-0.3522452	-0.547486	-0.04804292	-0.1258992	-0.1889368	-0.3528349	-0.2268629	-0.3223521	-0.03716815	-0.2290628	-1.356093	-0.9821061	-1.49633	0.1383062	0.7851802	0.1173855	0.1447123	0.1483288	0.05826915	0.1980196	0.212744	0.2329562	0.1814432	0.0375244	0.07055065	0.006905863	-0.0685319	0.000123493	1.097039	1.018323	1.146465	0.60387	0.4744861	0.76569	-0.1024574	0.1703961	-0.09235453	0.1528882	0.2444409	0.2069706	-0.1152177	-0.03128695	-0.02681168	-0.07602316	0.05381182	0.04872186	-0.3887101	-0.2929567	-0.3755277	0.2615835	0.3603155	-0.2614277	-0.6837051	-0.6057702	-0.6962202	0.09241667	0.5784702	0.03563141	-0.4843812	-0.5636763	-0.5665931	-0.1278071	0.09110489	-0.2066713	-0.5018147	-0.5603029	-0.1733986	-0.7981348	-0.3892004	-0.55567	-0.05413733	-0.1419178	0.1030861	-0.1236509	0.09856626	0.225648	0.02620067	0.03439539	0.07653525	-0.01454284	-0.04831178	-0.01161329	-0.2871157	-0.8301747	-0.1418403	0.008888843	-0.4049832	-0.6751031	-0.04746902	0.02064212	-0.2250824	0.03519674	0.0579798	-0.202958	-0.2406716	-0.3158917	-0.2817462	-0.218665	-0.1781511	-0.1392334	-1.731485	-1.591816	-1.302932	-0.9734428	-0.5514919	-0.7505165
-183.59375	-0.08080643	-0.1866229	-0.136811	-0.09831792	-0.3864736	-0.1288995	-0.02698397	-0.06460892	-0.06382015	0.03748893	-0.001194783	-0.05982201	0.1427722	-0.1702464	-0.009960069	-0.2510072	-0.1921383	-0.2878139	-0.4974555	-0.5557413	-0.3403138	-0.5197334	-0.1026445	-0.1642471	-0.1287693	-0.3033035	-0.1961216	-0.2763681	-0.0248039	-0.1877462	-1.3576	-0.9445543	-1.366964	0.0382905	0.7859618	0.09575573	0.1114835	0.1318743	0.04190733	0.1717499	0.2206939	0.2472489	0.1693196	0.04820416	0.06349634	0.03312749	-0.05860021	0.004253997	0.9196571	0.7270684	0.7650831	0.4513734	0.2171933	0.4762084	-0.08900639	0.1775121	-0.09205464	0.1661199	0.2278928	0.2101851	-0.1137352	-0.03410167	-0.03281335	-0.06056219	0.07230892	0.04191414	-0.3531718	-0.2707764	-0.2668145	0.07999879	0.2342913	-0.2924871	-0.668937	-0.5812335	-0.7126645	0.1728482	0.6309252	0.02083741	-0.4778387	-0.5388527	-0.5638859	-0.08481225	0.1353385	-0.2156013	-0.4936057	-0.712962	-0.3107351	-0.8200437	-0.6616793	-0.6272178	-0.1122421	-0.2630795	-0.03036021	-0.1015186	0.142385	0.1478121	0.03111691	0.05926547	0.1234724	-0.01005673	-0.03032485	0.00905329	-0.2002687	-0.7432853	0.009801855	0.008035977	-0.5603886	-0.7054925	-0.1511535	-0.2001348	-0.3902128	-0.0205725	0.02551778	-0.3395099	-0.2855634	-0.4415605	-0.3685957	-0.2771526	-0.2217155	-0.2540294	-1.794529	-1.715857	-1.349572	-0.9251251	-0.6447045	-0.8587575
-181.640625	-0.09309973	-0.1688671	-0.1216837	-0.04229833	-0.361248	-0.1306697	-0.06430732	-0.1078035	-0.09065273	-0.008497346	-0.03116078	-0.08283362	0.1870899	-0.1169831	0.0005626598	-0.08469114	-0.06658538	-0.2286248	-0.4927039	-0.4974349	-0.3179496	-0.4438875	-0.1033147	-0.1347919	-0.09765164	-0.255071	-0.1629988	-0.2387404	-0.01158346	-0.140188	-1.280571	-0.8321985	-1.177128	-0.009091157	0.8227156	0.1256258	0.08842808	0.1436179	0.06240356	0.156775	0.2299715	0.2778728	0.1653194	0.07182381	0.07462461	0.05865136	-0.04748549	0.02189344	0.5908005	0.3247743	0.2823017	0.216434	-0.01841147	0.1912423	-0.08364149	0.1260774	-0.1185073	0.2011367	0.2144955	0.1738134	-0.104715	-0.0319934	-0.03517089	-0.03339491	0.08652836	0.03534436	-0.2417112	-0.1963304	-0.1556569	-0.00807866	0.1113273	-0.3021064	-0.6855899	-0.5969459	-0.7411289	0.1775601	0.6080557	-0.02795792	-0.4827533	-0.5167736	-0.5545806	-0.04314822	0.1788756	-0.1897367	-0.5359101	-0.8436645	-0.426953	-0.8672866	-0.8768626	-0.673816	-0.1466716	-0.3629799	-0.166358	-0.03816475	0.231733	0.07364374	0.03170771	0.07254171	0.1606094	-0.02560256	-0.01869695	0.01632622	-0.1228371	-0.6874369	0.02736947	-0.07424079	-0.7235768	-0.7273489	-0.1179481	-0.1689098	-0.3666684	0.006895943	0.02512828	-0.346758	-0.1515505	-0.272698	-0.2537633	-0.21603	-0.1694325	-0.2055308	-1.712706	-1.630926	-1.257432	-0.7831306	-0.5710801	-0.8133642
